Language,Condition,ID,Gender,TotalEvents,Path,Manner,Ground,Character,Observer,Dual
Korean,Friend,1,F,16,13,12,3,8,6,2
Korean,Friend,2,M,14,8,10,0,8,5,1
Korean,Friend,3,F,15,12,12,4,5,9,1
Korean,Friend,4,F,7,6,6,2,4,2,1
Korean,Friend,5,M,8,7,5,0,3,5,0
Korean,Friend,6,F,13,11,9,3,6,5,2
Korean,Friend,7,F,10,7,7,4,5,4,1
Korean,Friend,8,M,13,10,9,3,4,9,0
Korean,Friend,9,M,15,12,10,5,8,5,2
Korean,Friend,10,M,13,10,7,2,5,7,1
Korean,Friend,11,M,12,11,4,1,4,8,0
Korean,Friend,12,F,8,5,7,3,6,2,0
Korean,Friend,13,F,6,5,5,2,4,1,1
Korean,Superior,1,F,15,12,10,2,4,9,2
Korean,Superior,2,M,8,7,3,1,1,5,2
Korean,Superior,3,F,14,11,9,2,6,7,1
Korean,Superior,4,F,6,5,4,0,3,2,1
Korean,Superior,5,M,5,5,1,0,0,5,0
Korean,Superior,6,F,7,6,4,1,3,3,1
Korean,Superior,7,F,11,9,5,4,3,7,1
Korean,Superior,8,M,5,1,5,1,2,3,0
Korean,Superior,9,M,10,9,8,2,2,6,2
Korean,Superior,10,M,11,9,6,1,3,7,1
Korean,Superior,11,M,6,5,1,0,1,4,1
Korean,Superior,12,F,9,5,7,2,4,4,1
Korean,Superior,13,F,2,1,2,0,2,0,0
Catalan,Friend,1,M,13,9,9,4,7,4,2
Catalan,Friend,2,F,9,8,6,3,4,5,0
Catalan,Friend,3,M,11,8,9,2,6,4,1
Catalan,Friend,4,M,9,8,6,2,3,6,0
Catalan,Friend,5,F,12,10,10,2,5,7,0
Catalan,Friend,6,F,11,9,6,4,1,10,0
Catalan,Friend,7,F,15,13,8,4,5,8,2
Catalan,Friend,8,F,10,9,9,6,3,7,0
Catalan,Friend,9,M,8,7,6,1,2,6,0
Catalan,Friend,11,F,11,7,9,6,2,8,1
Catalan,Friend,12,M,10,6,9,2,4,4,2
Catalan,Friend,13,M,13,10,11,3,7,4,2
Catalan,Friend,14,M,7,5,5,1,4,3,0
Catalan,Friend,16,F,10,9,5,0,4,5,1
Catalan,Superior,1,M,12,10,7,6,6,5,1
Catalan,Superior,2,F,5,3,4,2,2,1,2
Catalan,Superior,3,M,8,7,2,0,1,6,1
Catalan,Superior,4,M,7,7,2,1,0,6,1
Catalan,Superior,5,F,9,6,6,0,2,6,1
Catalan,Superior,6,F,10,8,5,2,2,8,0
Catalan,Superior,7,F,12,9,6,6,3,8,1
Catalan,Superior,8,F,10,6,6,0,3,7,0
Catalan,Superior,9,M,6,5,0,1,0,6,0
Catalan,Superior,11,F,10,8,5,5,2,6,2
Catalan,Superior,12,M,12,8,6,4,4,7,1
Catalan,Superior,13,M,13,8,9,2,6,6,1
Catalan,Superior,14,M,14,11,5,2,5,9,0
Catalan,Superior,16,F,10,9,3,0,2,8,0
